date,product_category,store_id,promotion,day_of_week,holiday,competitor_price_index,daily_sales
2023-01-01,Clothing,4,1,Sunday,0,0.9280099776005263,25.92
2023-01-02,Electronics,4,0,Monday,0,1.0627585441794243,57.60078708042145
2023-01-03,Electronics,1,0,Tuesday,0,1.0988646276849698,69.60190212401429
2023-01-04,Clothing,2,0,Wednesday,0,0.9043778887140379,3.2001311818627722
2023-01-05,Electronics,3,0,Thursday,0,0.9502207166788799,0.8000437275863498
2023-01-06,Electronics,1,0,Friday,0,1.0371866132117171,47.20322493152699
2023-01-07,Electronics,3,0,Saturday,0,1.028604618747236,48.804001128824666
2023-01-08,Home Goods,1,0,Sunday,0,0.975632502268787,13.601300922358641
2023-01-09,Toys,4,0,Monday,0,1.0746558776687123,33.60367321763873
2023-01-10,Toys,1,0,Tuesday,0,1.0722523568478353,32.00393561721675
2023-01-11,Clothing,3,0,Wednesday,0,1.0138675241031911,6.400874587579231
2023-01-12,Electronics,3,0,Thursday,0,1.05850972203569,9.60144307936541
2023-01-13,Electronics,3,0,Friday,0,0.9755656288162797,26.404329267675536
2023-01-14,Electronics,3,1,Saturday,0,1.024686358871031,23.04409315376847
2023-01-15,Toys,1,0,Sunday,0,1.0626286003284233,48.009183420559
2023-01-16,Toys,1,0,Monday,0,0.9301426616274779,48.00983944639789
2023-01-17,Toys,2,0,Tuesday,0,1.0819210429641317,24.80542266528724
2023-01-18,Home Goods,4,0,Wednesday,0,0.9853516617265964,22.405204044985425
2023-01-19,Home Goods,2,0,Thursday,0,0.9245249875385416,4.000983964808417
2023-01-20,Home Goods,2,0,Friday,0,1.0893742220371856,8.802285000556287
2023-01-21,Clothing,3,0,Saturday,0,1.067484164886674,44.812245062722354
2023-01-22,Clothing,5,0,Sunday,0,0.9697994193780068,36.01033184226476
2023-01-23,Home Goods,5,0,Monday,0,0.975308413865963,16.00481062609269
2023-01-24,Toys,3,0,Tuesday,0,,36.01131598187625
2023-01-25,Electronics,5,0,Wednesday,0,0.9175085045876883,29.60970885078695
2023-01-26,Home Goods,4,0,Thursday,0,1.021146668928559,8.00273336630748
2023-01-27,Clothing,1,0,Friday,0,0.9366983404575825,38.41364505783846
2023-01-28,Electronics,1,0,Saturday,0,1.0262820404060924,57.621254946860326
2023-01-29,Toys,5,0,Sunday,0,0.9884472556906156,32.01224573206773
2023-01-30,Home Goods,2,1,Monday,0,1.0541003441705623,10.56418544487948
2023-01-31,Toys,1,0,Tuesday,0,1.0558865277309977,34.41410465200098
2023-02-01,Clothing,3,0,Wednesday,0,1.0839856509337131,28.011863296113432
2023-02-02,Electronics,2,0,Thursday,0,0.9568682288356352,31.213645617245437
2023-02-03,Electronics,2,0,Friday,0,0.9815392247673945,47.22128862044087
2023-02-04,Electronics,4,0,Saturday,0,0.9716742843837173,45.621190358663235
2023-02-05,Clothing,5,0,Sunday,0,0.9922135817879955,1.6007653948615603
2023-02-06,Electronics,1,0,Monday,0,0.9729497829729189,60.8299162092855
2023-02-07,Clothing,3,0,Tuesday,0,0.9827985162048428,47.223869711660484
2023-02-08,Toys,4,0,Wednesday,0,0.9251403147648727,52.02700805801841
2023-02-09,Home Goods,4,1,Thursday,0,0.9483846678085835,18.249722967321954
2023-02-10,Home Goods,1,1,Friday,0,1.0574884727924572,15.368397761950135
2023-02-11,Home Goods,5,0,Saturday,0,0.9384460563573772,25.61434627469083
2023-02-12,Home Goods,1,0,Sunday,0,0.9454740686313431,10.405970365475525
2023-02-13,Home Goods,1,0,Monday,0,0.9055080760135847,29.617397282740985
2023-02-14,Electronics,4,0,Tuesday,0,0.9415927208189581,44.02646242106227
2023-02-15,Electronics,3,0,Wednesday,0,0.9026601889948378,79.24871524436827
2023-02-16,Toys,4,0,Thursday,0,0.9807506994267413,8.805533127291291
2023-02-17,Clothing,1,0,Friday,0,1.0947726914353864,16.010279002358057
